,Date,VIXCLS
0,2023-01-02,
1,2023-01-03,22.9
2,2023-01-04,22.01
3,2023-01-05,22.46
4,2023-01-06,21.13
5,2023-01-09,21.97
6,2023-01-10,20.58
7,2023-01-11,21.09
8,2023-01-12,18.83
9,2023-01-13,18.35
10,2023-01-16,19.49
11,2023-01-17,19.36
12,2023-01-18,20.34
13,2023-01-19,20.52
14,2023-01-20,19.85
15,2023-01-23,19.81
16,2023-01-24,19.2
17,2023-01-25,19.08
18,2023-01-26,18.73
19,2023-01-27,18.51
20,2023-01-30,19.94
21,2023-01-31,19.4
22,2023-02-01,17.87
23,2023-02-02,18.73
24,2023-02-03,18.33
25,2023-02-06,19.43
26,2023-02-07,18.66
27,2023-02-08,19.63
28,2023-02-09,20.71
29,2023-02-10,20.53
30,2023-02-13,20.34
31,2023-02-14,18.91
32,2023-02-15,18.23
33,2023-02-16,20.17
34,2023-02-17,20.02
35,2023-02-20,21.23
36,2023-02-21,22.87
37,2023-02-22,22.29
38,2023-02-23,21.14
39,2023-02-24,21.67
40,2023-02-27,20.95
41,2023-02-28,20.7
42,2023-03-01,20.58
43,2023-03-02,19.59
44,2023-03-03,18.49
45,2023-03-06,18.61
46,2023-03-07,19.59
47,2023-03-08,19.11
48,2023-03-09,22.61
49,2023-03-10,24.8
50,2023-03-13,26.52
51,2023-03-14,23.73
52,2023-03-15,26.14
53,2023-03-16,22.99
54,2023-03-17,25.51
