Ticker,Company
AAPL,Apple Inc
AXP,American Express Company
BA,Boeing Co
CAT,Caterpillar Inc.
CSCO,"Cisco Systems, Inc."
CVX,Chevron Corporation
DIS,Walt Disney Co
DWDP,DowDuPont
GS,GlaxoSmithKline plc
HD,"The Home Depot, Inc."
IBM,International Business Machines Corporation
INTC,Intel Corporation
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co. 
KO,The Coca-Cola Company
MCD,McDonald's Corporation
MMM,3M Company
MRK,"Merck & Co., Inc."
MSFT,Microsoft Corporation
NKE,"NIKE, Inc."
PFE,Pfizer Inc.
PG,The Procter & Gamble Company
TRV,"The Travelers Companies, Inc."
UNH,UnitedHealth Group Incorporated
UTX,Raytheon Technologies Corp
V,Visa Inc.
VZ,Verizon Communications Inc.
WBA,"Walgreens Boots Alliance, Inc."
WMT,Walmart Inc.
XOM,Exxon Mobil Corporation
