Gender,Height,Weight
Male,73.84701702,241.8935632
Male,68.78190405,162.3104725
Male,74.11010539,212.7408556
Male,71.7309784,220.0424703
Male,69.88179586,206.3498006
Male,67.25301569,152.2121558
Male,68.78508125,183.9278886
Male,68.34851551,167.9711105
Male,67.01894966,175.9294404
Male,63.45649398,156.3996764
Male,71.19538228,186.6049256
Male,71.64080512,213.7411695
Male,64.76632913,167.1274611
Male,69.2830701,189.4461814
Male,69.24373223,186.434168
Male,67.6456197,172.1869301
Male,72.41831663,196.0285063
Male,63.97432572,172.8834702
Male,69.6400599,185.9839576
Male,67.93600485,182.426648
Male,67.91505019,174.1159291
Male,69.43943987,197.7314216
Male,66.14913196,149.173566
Male,75.20597361,228.7617806
Male,67.89319634,162.0066518
Female,58.91073204,102.0883264
Female,65.23001251,141.3058226
Female,63.36900376,131.0414027
Female,64.47999743,128.1715112
Female,61.79309615,129.781407
Female,65.96801895,156.8020826
Female,62.85037864,114.9690383
Female,65.65215644,165.0830012
Female,61.89023374,111.6761992
Female,63.67786815,104.1515596
Female,68.10117224,166.5756608
Female,61.79887853,106.233687
Female,63.37145896,128.1181691
Female,58.89588635,101.6826134
Female,58.4382491,98.19262093
Female,60.80979868,126.9154633
Female,70.12865283,151.2542704
Female,62.25742965,115.7973934
Female,61.73509022,107.8668724
Female,63.05955669,145.5899291
Female,62.28683837,139.5227077
Female,61.82747755,122.7661667
Female,66.34753722,157.3809648
Female,65.32063203,145.0373756
Female,66.1038728,148.6451826
