year,value,growth_rate
-10000,4000,
-8000,5320,0.0001
-5000,22500,0.0005
-4000,46750,0.0007
-3000,14000,-0.0012
-2000,27000,0.0007
-1600,70000,0.0024
-1000,50000,-0.0006
-800,100000,0.0035
-500,100000,0
-400,157500,0.0046
-200,202000,0.0012
1,235000,0.0008
14,256000,0.0066
200,234330,-0.0005
350,254000,0.0005
400,200660,-0.0047
500,198500,-0.0001
600,212750,0.0007
700,207660,-0.0002
800,232250,0.0011
900,229300,-0.0001
1000,278600,0.0019
1100,306600,0.001
1200,386000,0.0023
1250,417000,0.0015
1300,407600,-0.0005
1340,410000,0.0001
1400,366300,-0.0019
1500,458800,0.0023
1600,550000,0.0018
1650,535300,-0.0005
1700,652500,0.004
1750,751000,0.0028
1800,920800,0.0041
1850,1218000,0.0056
1875,1325000,0.0034
1900,1647000,0.0087
1920,1813000,0.0048
1930,1987000,0.0092
1940,2213000,0.0108
1950,2536000,0.0137
1960,3033000,0.0181
1970,3701000,0.0201
1980,4458000,0.0188
1990,5331000,0.018
2000,6145000,0.0143
2010,6958000,0.0125
2019,7715000,0.0115
2021,7874966,0.0103
2020,7794799,0.011
2015,7379797,0.0119
2010,6956824,0.0124
2005,6541907,0.0126
2000,6143494,0.0135
1995,5744213,0.0152
1990,5327231,0.0181
1985,4870922,0.0179
1980,4458004,0.0179
1975,4079481,0.0197
1970,3700437,0.0207
1965,3339584,0.0193
1960,3034950,0.0182
1955,2773020,0.018
2025,8184437,0.0097
2030,8548487,0.0087
2035,8887524,0.0078
2040,9198847,0.0069
2045,9481803,0.0061
2050,9735034,0.0053
2055,9958094,0.0045
2060,10151449,0.0039
2065,10317830,0.0033
2070,10459153,0.0027
2075,10577156,0.0022
2080,10673719,0.0018
2085,10750417,0.0014
2090,10809576,0.0011
2095,10851461,0.0008
2100,10874902,0.0004
